,tx_price,beds,baths,sqft,tx_age,year_built,lot_size,basement,restaurants,groceries,nightlife,cafes,shopping,arts_entertainment,beauty_spas,active_life,median_age,married,college_grad,ins*proptax,property_tax^2,property_var,property_tax,insurance^2,insurance_var,insurance,median_school,num_schools,tx_year,property_type_Apartment / Condo / Townhouse,property_type_Single-Family,exterior_walls_Asbestos shingle,exterior_walls_Block,exterior_walls_Brick,exterior_walls_Brick veneer,exterior_walls_Combination,exterior_walls_Concrete,exterior_walls_Concrete Block,exterior_walls_Masonry,exterior_walls_Metal,exterior_walls_Other,"exterior_walls_Rock, Stone",exterior_walls_Siding (Alum/Vinyl),exterior_walls_Stucco,exterior_walls_Wood,exterior_walls_Wood Shingle,exterior_walls_Wood Siding,roof_Asbestos,roof_asphalt,roof_Asphalt,"roof_asphalt,shake-shingle",roof_Built-up,roof_composition,roof_Composition,roof_Composition Shingle,roof_Gravel/Rock,roof_Metal,roof_Other,roof_Roll Composition,roof_Shake Shingle,roof_shake-shingle,roof_Slate,roof_Wood Shake/ Shingles
1,-1.471643909,1,1,-1.058925534,0.040278043,-0.047504242,0,1,95,18,19,18,92,6,49,21,52,33,53,-2.006232448,-0.436891711,1.238270813,-1.238270813,-0.423560242,1.185757665,-1.185757665,3,3,-0.021465457,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,-1.471643909,2,1,-0.983362748,2.308496531,-2.61027302,1615,1,185,8,31,32,284,33,173,81,38,56,55,-0.314471377,-0.268416613,0.491277539,-0.491277539,-0.217343454,0.321683374,-0.321683374,2,3,-0.791359862,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,-1.471643909,2,2,-1.086606951,-0.57403113,0.839608028,0,1,201,11,40,28,131,10,73,85,36,25,91,-0.102285704,-0.235026353,0.383330535,-0.383330535,-0.150882424,0.129666865,-0.129666865,9,3,0.940902548,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,-1.471643909,3,1,-1.087355097,1.930460116,-1.624592721,9047,1,24,6,0,5,24,4,17,22,40,85,25,-0.907051624,-0.346640261,0.780575513,-0.780575513,-0.334492506,0.733147322,-0.733147322,5,3,1.518323351,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,-1.471643909,3,1,-0.115512929,1.457914598,-2.11743287,9500,1,70,8,9,7,82,5,48,37,36,81,80,1.35856929,0.590013613,-1.313596382,1.313596382,0.481090771,-1.145871374,1.145871374,9,3,-2.33114867,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,-1.471643909,3,2,-0.747696633,0.654587217,-0.540344391,0,1,32,1,0,3,27,6,19,25,47,51,77,-1.621735898,-0.414745428,1.104416527,-1.104416527,-0.400972679,1.048603015,-1.048603015,7,3,0.555955346,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,-1.471643909,3,3,-0.508289787,1.032623632,-0.688196436,1799,1,3,0,0,1,6,0,12,1,28,85,31,-1.075390863,-0.366811449,0.866933117,-0.866933117,-0.353787644,0.815440112,-0.815440112,6,3,1.518323351,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,-1.471643909,3,3,-0.436467733,-0.479522027,0.198915833,1911,1,23,6,1,2,17,1,17,12,35,55,73,-0.507382961,-0.28487696,0.547409982,-0.547409982,-0.276300821,0.513699883,-0.513699883,5,3,-1.176307064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,-1.471643909,4,2,-0.61153399,0.654587217,-0.589628406,4568,1,56,7,6,4,46,7,32,15,44,71,63,-0.678995691,-0.314795729,0.655356987,-0.655356987,-0.302965629,0.609708138,-0.609708138,6,3,0.363481745,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,-1.471643909,5,1,-0.988599773,1.977714668,-1.624592721,7444,1,44,9,2,6,32,8,26,25,49,48,52,-1.222443351,-0.38189599,0.9360192,-0.9360192,-0.368814116,0.884017436,-0.884017436,5,3,1.710796952,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,-1.471643909,5,3,-0.402052999,0.371059906,-0.244640302,10275,1,24,4,2,2,17,4,20,12,41,81,48,-0.334777853,-0.18895419,0.245158368,-0.245158368,-0.291767558,0.568561743,-0.568561743,4,3,0.555955346,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-1.470983504,4,2,-0.705052289,1.221641839,-1.033184541,10010,1,41,6,5,2,58,0,21,10,28,69,29,-1.174214155,-0.368748176,0.875568877,-0.875568877,-0.371704558,0.897732901,-0.897732901,5,3,0.940902548,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,-1.466690876,3,2,-0.896577766,0.323805354,-0.293924317,0,1,38,2,3,5,64,2,65,18,40,75,57,-1.227130301,-0.382807713,0.94033708,-0.94033708,-0.368814116,0.884017436,-0.884017436,9,3,0.171008144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,-1.466690876,3,4,-0.521008276,-0.101485612,-0.293924317,1716,1,6,3,0,1,11,1,4,4,43,82,76,-0.116445929,-0.202290196,0.28401929,-0.28401929,-0.194468762,0.253106049,-0.253106049,8,3,-1.561254266,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,-1.458746211,2,2,-1.039473728,0.276550802,0.149631818,0,1,80,4,3,13,173,2,47,37,30,49,33,-2.630359837,-0.454980005,1.367807219,-1.367807219,-0.451737268,1.405205104,-1.405205104,6.5,2,1.710796952,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,-1.458435821,4,2,-0.964659088,0.938114528,-0.934616511,10001,1,26,10,1,2,24,0,10,7,30,89,13,-1.808163046,-0.42153676,1.143277449,-1.143277449,-0.417185955,1.14461127,-1.14461127,5,3,0.171008144,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,-1.454935677,4,2,-0.316016163,-1.0938312,0.741039998,3484,1,2,0,0,0,10,3,5,8,39,74,70,-0.252037153,-0.18745414,0.240840488,-0.240840488,-0.264298785,0.472553488,-0.472553488,9,3,-1.561254266,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,-1.451831777,3,2,-0.396067828,1.174387287,-1.772444766,6943,1,109,18,6,14,94,6,32,29,36,80,84,0.824608457,0.078937095,-0.406841541,0.406841541,0.248496305,-0.748122891,0.748122891,9,3,-2.138675069,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
